title,Don’t Give Up!,book_en_504_page_0_1.m4a,book_en_504_page_0,portrait,audio,
word,0.453194,0.802268,will,en-uk_will.m4a,0.2,
word,0.802268,1.44356,never,en-uk_never.m4a,0.2,
word,1.44356,2.21172,know,en-uk_know.m4a,0.2,
word,2.21172,2.82096,because,en-uk_because.m4a,0.2,
word,2.82096,3.44551,Fox,en-uk_fox.m4a,0.2,
word,3.44551,4.41291,stopped,en-uk_stopped.m4a,0.2,
word,4.41291,5.10204,trying.,en-uk_trying.m4a,0.2,
sentence,book_en_504_page_7_2.m4a,6.10204,
word,0,0.389988,He,en-uk_he.m4a,0.2,
word,0.389988,0.715485,made,en-uk_made.m4a,0.2,
word,0.715485,0.90598,an,en-uk_an.m4a,0.2,
word,0.90598,1.63278,excuse,en-uk_excuse.m4a,0.2,
word,1.63278,1.89168,to,en-uk_to.m4a,0.2,
word,1.89168,2.10904,give,en-uk_give.m4a,0.2,
word,2.10904,2.37646,up.,en-uk_up.m4a,0.2,
sentence,book_en_504_page_7_3.m4a,9.4785,
word,0,0.416472,“I,en-uk_i.m4a,0.2,
word,0.416472,0.599886,do,en-uk_do.m4a,0.2,
word,0.599886,0.87617,not,en-uk_not.m4a,0.2,
word,0.87617,1.28353,want,en-uk_want.m4a,0.2,
word,1.28353,1.70874,those,en-uk_those.m4a,0.2,
word,1.70874,2.22519,grapes,en-uk_grapes.m4a,0.2,
word,2.22519,3.37651,"anyway,”",en-uk_anyway.m4a,0.2,
sentence,book_en_504_page_7_4.m4a,13.855,
word,0,0.364299,he,en-uk_he.m4a,0.2,
word,0.364299,1.00005,pretended.,en-uk_pretended.m4a,0.2,
sentence,book_en_504_page_7_5.m4a,15.8551,
word,0,0.476596,“I,en-uk_i.m4a,0.2,
word,0.476596,1.08515,bet,en-uk_bet.m4a,0.2,
word,1.08515,1.31898,they,en-uk_they.m4a,0.2,
word,1.31898,1.77798,taste,en-uk_taste.m4a,0.2,
word,1.77798,2.41587,sour.”,en-uk_sour.m4a,0.2,
page,8,book_en_504_page_8,wordwrap,
paragraph
sentence,book_en_504_page_8_1.m4a,0,
word,0,0.49974,But,en-uk_but.m4a,0.2,
word,0.49974,1.74287,excuses,en-uk_excuses.m4a,0.2,
word,1.74287,1.94075,do,en-uk_do.m4a,0.2,
word,1.94075,2.49248,not,en-uk_not.m4a,0.2,
word,2.49248,3.15952,fix,en-uk_fix.m4a,0.2,
word,3.15952,3.9751,problems.,en-uk_problems.m4a,0.2,
sentence,book_en_504_page_8_2.m4a,4.9751,
word,0,0.725796,Fox,en-uk_fox.m4a,0.2,
word,0.725796,1.11863,walked,en-uk_walked.m4a,0.2,
word,1.11863,2.01192,away,en-uk_away.m4a,0.2,
word,2.01192,2.48465,feeling,en-uk_feeling.m4a,0.2,
word,2.48465,3.41987,"sad,",en-uk_sad.m4a,0.2,
word,3.41987,4.78759,"mad,",en-uk_mad.m4a,0.2,
word,4.78759,5.34822,and,en-uk_and.m4a,0.2,
word,5.34822,6.23021,still,en-uk_still.m4a,0.2,
word,6.23021,6.97803,hungry.,en-uk_hungry.m4a,0.2,
