title,Tall Khali,book_en_507_page_0_1.m4a,book_en_507_page_0,portrait,audio,
word,2.0415,2.32541,use,en-uk_use.m4a,0.2,
word,2.32541,2.51206,it.,en-uk_it.m4a,0.2,
sentence,book_en_507_page_6_5.m4a,22.309,
word,0,0.331456,The,en-uk_the.m4a,0.2,
word,0.331456,0.706609,new,en-uk_new.m4a,0.2,
word,0.706609,1.13303,hoe,en-uk_hoe.m4a,0.2,
word,1.13303,1.34783,was,en-uk_was.m4a,0.2,
word,1.34783,1.60105,the,en-uk_the.m4a,0.2,
word,1.60105,2.19208,perfect,en-uk_perfect.m4a,0.2,
word,2.19208,2.86592,size,en-uk_size.m4a,0.2,
word,2.86592,3.13389,for,en-uk_for.m4a,0.2,
word,3.13389,3.75501,Khali.,en-uk_tumo.m4a,0.2,
page,7,book_en_507_page_7,wordwrap,
paragraph
sentence,book_en_507_page_7_1.m4a,0,
word,0,0.501802,When,en-uk_when.m4a,0.2,
word,0.501802,0.672106,it,en-uk_it.m4a,0.2,
word,0.672106,0.917323,was,en-uk_was.m4a,0.2,
word,0.917323,1.23521,time,en-uk_time.m4a,0.2,
word,1.23521,1.4447,to,en-uk_to.m4a,0.2,
word,1.4447,2.4513,"leave,",en-uk_leave.m4a,0.2,
word,2.4513,3.06794,Khali,en-uk_tumo.m4a,0.2,
word,3.06794,3.27462,went,en-uk_went.m4a,0.2,
word,3.27462,3.56009,to,en-uk_to.m4a,0.2,
word,3.56009,3.86716,find,en-uk_find.m4a,0.2,
word,3.86716,4.10429,his,en-uk_his.m4a,0.2,
word,4.10429,5.2527,"bicycle,",en-uk_bicycle.m4a,0.2,
word,5.2527,5.88632,but,en-uk_but.m4a,0.2,
word,5.88632,6.89713,"instead,",en-uk_instead.m4a,0.2,
word,6.89713,7.51172,he,en-uk_he.m4a,0.2,
word,7.51172,7.85496,found,en-uk_found.m4a,0.2,
word,7.85496,8.14627,a,en-uk_a.m4a,0.2,
word,8.14627,8.55263,new,en-uk_new.m4a,0.2,
word,8.55263,9.24771,bicycle!,en-uk_bicycle.m4a,0.2,
sentence,book_en_507_page_7_2.m4a,10.2477,
word,0,0.448057,This,en-uk_this.m4a,0.2,
word,0.448057,0.931598,one,en-uk_one.m4a,0.2,
word,0.931598,1.09553,was,en-uk_was.m4a,0.2,
word,1.09553,1.29926,a,en-uk_a.m4a,0.2,
word,1.29926,1.72355,very,en-uk_very.m4a,0.2,
word,1.72355,2.38369,large,en-uk_large.m4a,0.2,
word,2.38369,3.49115,"bicycle,",en-uk_bicycle.m4a,0.2,
word,3.49115,4.11642,with,en-uk_with.m4a,0.2,
word,4.11642,4.28782,a,en-uk_a.m4a,0.2,
word,4.28782,4.66768,big,en-uk_big.m4a,0.2,
word,4.66768,5.20806,frame,en-uk_frame.m4a,0.2,
