title,Understanding Elephants,book_en_509_page_0_1.m4a,book_en_509_page_0,portrait,audio,
word,1.14927,1.61622,tusks,en-uk_tusks.m4a,0.2,
word,1.61622,1.83269,to,en-uk_to.m4a,0.2,
word,1.83269,2.44921,dig.,en-uk_dig.m4a,0.2,
page,10,book_en_509_page_10,wordwrap,
paragraph
sentence,book_en_509_page_10_1.m4a,0,
word,0,0.633236,Elephants,en-uk_elephants.m4a,0.2,
word,0.633236,0.899526,have,en-uk_have.m4a,0.2,
word,0.899526,1.21625,big,en-uk_big.m4a,0.2,
word,1.21625,1.83336,eyes.,en-uk_eyes.m4a,0.2,
sentence,book_en_509_page_10_2.m4a,2.93458,
word,0,0.300941,But,en-uk_but.m4a,0.2,
word,0.300941,0.550651,their,en-uk_their.m4a,0.2,
word,0.550651,0.850571,eyes,en-uk_eyes.m4a,0.2,
word,0.850571,1.03372,are,en-uk_are.m4a,0.2,
word,1.03372,1.35196,very,en-uk_very.m4a,0.2,
word,1.35196,1.58416,far,en-uk_far.m4a,0.2,
word,1.58416,2.18373,apart,en-uk_apart.m4a,0.2,
word,2.18373,2.38378,and,en-uk_and.m4a,0.2,
word,2.38378,2.55063,on,en-uk_on.m4a,0.2,
word,2.55063,2.70167,the,en-uk_the.m4a,0.2,
word,2.70167,3.00064,sides,en-uk_sides.m4a,0.2,
word,3.00064,3.18388,of,en-uk_of.m4a,0.2,
word,3.18388,3.38388,their,en-uk_their.m4a,0.2,
word,3.38388,3.98409,heads.,en-uk_heads.m4a,0.2,
sentence,book_en_509_page_10_3.m4a,7.9093,
word,0,0.28334,So,en-uk_so.m4a,0.2,
word,0.28334,0.550059,elephants,en-uk_elephants.m4a,0.2,
word,0.550059,1.16693,mostly,en-uk_mostly.m4a,0.2,
word,1.16693,1.73324,use,en-uk_use.m4a,0.2,
word,1.73324,1.95026,their,en-uk_their.m4a,0.2,
word,1.95026,2.56672,trunks,en-uk_trunks.m4a,0.2,
word,2.56672,2.80006,to,en-uk_to.m4a,0.2,
word,2.80006,3.13344,smell,en-uk_smell.m4a,0.2,
word,3.13344,3.33354,the,en-uk_the.m4a,0.2,
word,3.33354,3.63339,way,en-uk_way.m4a,0.2,
word,3.63339,3.93611,ahead,en-uk_ahead.m4a,0.2,
word,3.93611,4.09969,of,en-uk_of.m4a,0.2,
word,4.09969,4.33932,them.,en-uk_them.m4a,0.2,
