title,Night Animals,book_en_410_page_0_1.m4a,book_en_410_page_0,portrait,audio,
word,3.41796,3.95057,sleep,en-uk_sleep.m4a,0.2,
word,3.95057,4.12701,at,en-uk_at.m4a,0.2,
word,4.12701,4.69914,night.,en-uk_night.m4a,0.2,
sentence,book_en_410_page_9_2.m4a,5.69914,
word,0,0.418482,“We,en-uk_we.m4a,0.2,
word,0.418482,1.09221,sometimes,en-uk_sometimes.m4a,0.2,
word,1.09221,1.55639,sleep,en-uk_sleep.m4a,0.2,
word,1.55639,1.95014,during,en-uk_during.m4a,0.2,
word,1.95014,2.1364,the,en-uk_the.m4a,0.2,
word,2.1364,2.50535,day,en-uk_day.m4a,0.2,
word,2.50535,3.28515,instead.,en-uk_instead.m4a,0.2,
sentence,book_en_410_page_9_3.m4a,9.98429,
word,0,0.426731,We,en-uk_we.m4a,0.2,
word,0.426731,0.942662,are,en-uk_are.m4a,0.2,
word,0.942662,1.92861,nocturnal,en-uk_nocturnal.m4a,0.2,
word,1.92861,2.72211,"animals,”",en-uk_animals.m4a,0.2,
sentence,book_en_410_page_9_4.m4a,13.7064,
word,0,0.448906,they,en-uk_they.m4a,0.2,
word,0.448906,0.7595,all,en-uk_all.m4a,0.2,
word,0.7595,1.08837,said.,en-uk_said.m4a,0.2,
page,10,book_en_410_page_10,wordwrap,
paragraph
sentence,book_en_410_page_10_1.m4a,0,
word,0.230244,0.46713,But,en-uk_but.m4a,0.2,
word,0.46713,1.10881,soon,en-uk_soon.m4a,0.2,
word,1.10881,1.5823,the,en-uk_the.m4a,0.2,
word,1.5823,2.27597,dog,en-uk_dog.m4a,0.2,
word,2.27597,2.53315,was,en-uk_was.m4a,0.2,
word,2.53315,3.06823,tired.,en-uk_tired.m4a,0.2,
sentence,book_en_410_page_10_2.m4a,4.06823,
word,0,0.367037,He,en-uk_he.m4a,0.2,
word,0.367037,0.676577,went,en-uk_went.m4a,0.2,
word,0.676577,1.31143,back,en-uk_back.m4a,0.2,
word,1.31143,1.46045,to,en-uk_to.m4a,0.2,
word,1.46045,1.70022,his,en-uk_his.m4a,0.2,
word,1.70022,2.15782,mom.,en-uk_mom.m4a,0.2,
page,11,book_en_410_page_11,wordwrap,
paragraph
sentence,book_en_410_page_11_1.m4a,0,
word,0,1.09193,"Finally,",en-uk_finally.m4a,0.2,
word,1.09193,1.57146,the,en-uk_the.m4a,0.2,
word,1.57146,2.12222,dog,en-uk_dog.m4a,0.2,
word,2.12222,2.46783,fell,en-uk_fell.m4a,0.2,
word,2.46783,3.01285,fast,en-uk_fast.m4a,0.2,
word,3.01285,3.80304,asleep.,en-uk_asleep.m4a,0.2,
