title,How Can I Get to School?,book_en_501_page_0_1.m4a,book_en_501_page_0,landscape,audio,
word,1.82601,2.31839,near,en-uk_near.m4a,0.2,
word,2.31839,2.76017,Cindy's,en-uk_cindy1s.m4a,0.2,
word,2.76017,3.39984,school.,en-uk_school.m4a,0.2,
sentence,book_en_501_page_8_3.m4a,7.10277,
word,0,0.411305,Who,en-uk_who.m4a,0.2,
word,0.411305,0.750466,knows,en-uk_knows.m4a,0.2,
word,0.750466,1.01953,where,en-uk_where.m4a,0.2,
word,1.01953,1.32541,that,en-uk_that.m4a,0.2,
word,1.32541,1.70971,train,en-uk_train.m4a,0.2,
word,1.70971,1.89308,would,en-uk_would.m4a,0.2,
word,1.89308,2.37213,go?,en-uk_go.m4a,0.2,
sentence,book_en_501_page_8_4.m4a,10.4749,
word,0.225667,0.736526,Cindy,en-uk_cindy.m4a,0.2,
word,0.736526,1.27618,couldn't,en-uk_couldn1t.m4a,0.2,
word,1.27618,1.50948,get,en-uk_get.m4a,0.2,
word,1.50948,1.697,to,en-uk_to.m4a,0.2,
word,1.697,2.05261,school,en-uk_school.m4a,0.2,
word,2.05261,2.30896,on,en-uk_on.m4a,0.2,
word,2.30896,2.52007,the,en-uk_the.m4a,0.2,
word,2.52007,3.11304,train.,en-uk_train.m4a,0.2,
page,9,book_en_501_page_9,wordwrap,
paragraph
sentence,book_en_501_page_9_1.m4a,0,
word,0,0.375307,An,en-uk_an.m4a,0.2,
word,0.375307,1.03525,airplane,en-uk_airplane.m4a,0.2,
word,1.03525,1.46059,flew,en-uk_flew.m4a,0.2,
word,1.46059,1.79153,across,en-uk_across.m4a,0.2,
word,1.79153,2.01424,the,en-uk_the.m4a,0.2,
word,2.01424,2.35817,sky,en-uk_sky.m4a,0.2,
word,2.35817,2.90989,above.,en-uk_above.m4a,0.2,
sentence,book_en_501_page_9_2.m4a,3.90989,
word,0,0.383745,That,en-uk_that.m4a,0.2,
word,0.383745,0.596044,was,en-uk_was.m4a,0.2,
word,0.596044,0.967959,it!,en-uk_it.m4a,0.2,
sentence,book_en_501_page_9_3.m4a,5.87785,
word,0.227665,0.919908,Cindy,en-uk_cindy.m4a,0.2,
word,0.919908,1.08595,could,en-uk_could.m4a,0.2,
word,1.08595,1.28845,take,en-uk_take.m4a,0.2,
word,1.28845,1.4627,an,en-uk_an.m4a,0.2,
word,1.4627,2.17137,airplane,en-uk_airplane.m4a,0.2,
word,2.17137,2.34209,to,en-uk_to.m4a,0.2,
word,2.34209,2.88596,school.,en-uk_school.m4a,0.2,
sentence,book_en_501_page_9_4.m4a,9.76381,
word,0,0.414357,She,en-uk_she.m4a,0.2,
word,0.414357,0.864874,just,en-uk_just.m4a,0.2,
word,0.864874,1.1229,needs,en-uk_needs.m4a,0.2,
word,1.1229,1.43474,to,en-uk_to.m4a,0.2,
word,1.43474,1.66525,ask,en-uk_ask.m4a,0.2,
word,1.66525,1.85823,the,en-uk_the.m4a,0.2,
word,1.85823,2.33353,pilot,en-uk_pilot.m4a,0.2,
word,2.33353,2.5182,to,en-uk_to.m4a,0.2,
word,2.5182,2.74686,take,en-uk_take.m4a,0.2,
word,2.74686,2.94331,her,en-uk_her.m4a,0.2,
word,2.94331,3.09497,to,en-uk_to.m4a,0.2,
word,3.09497,3.65676,school.,en-uk_school.m4a,0.2,
page,10,book_en_501_page_10,wordwrap,
paragraph
sentence,book_en_501_page_10_1.m4a,0,
word,0,0.739841,Cindy,en-uk_cindy.m4a,0.2,
word,0.739841,1.37347,waved,en-uk_waved.m4a,0.2,
word,1.37347,1.76551,but,en-uk_but.m4a,0.2,
word,1.76551,1.97284,the,en-uk_the.m4a,0.2,
word,1.97284,2.35831,pilot,en-uk_pilot.m4a,0.2,
word,2.35831,2.54038,did,en-uk_did.m4a,0.2,
word,2.54038,2.78246,not,en-uk_not.m4a,0.2,
word,2.78246,2.99434,see,en-uk_see.m4a,0.2,
word,2.99434,3.40079,her.,en-uk_her.m4a,0.2,
sentence,book_en_501_page_10_2.m4a,4.40079,
word,0,0.716418,Then,en-uk_then.m4a,0.2,
word,0.716418,1.09548,Cindy,en-uk_cindy.m4a,0.2,
word,1.09548,1.60963,remembered,en-uk_remembered.m4a,0.2,
word,1.60963,1.82921,that,en-uk_that.m4a,0.2,
word,1.82921,2.61689,airplanes,en-uk_airplanes.m4a,0.2,
word,2.61689,2.83012,could,en-uk_could.m4a,0.2,
word,2.83012,3.0847,only,en-uk_only.m4a,0.2,
word,3.0847,3.42831,land,en-uk_land.m4a,0.2,
word,3.42831,3.6478,at,en-uk_at.m4a,0.2,
word,3.6478,4.48277,airports.,en-uk_airports.m4a,0.2,
sentence,book_en_501_page_10_3.m4a,9.88356,
word,0,0.375305,There,en-uk_there.m4a,0.2,
word,0.375305,0.588571,was,en-uk_was.m4a,0.2,
word,0.588571,0.853106,no,en-uk_no.m4a,0.2,
word,0.853106,1.35897,airport,en-uk_airport.m4a,0.2,
word,1.35897,1.53875,near,en-uk_near.m4a,0.2,
word,1.53875,2.10803,her.,en-uk_her.m4a,0.2,
sentence,book_en_501_page_10_4.m4a,12.9916,
word,0,0.398306,Too,en-uk_too.m4a,0.2,
word,0.398306,1.09274,bad!,en-uk_bad.m4a,0.2,
page,11,book_en_501_page_11,wordwrap,
paragraph
sentence,book_en_501_page_11_1.m4a,0,
word,0,0.323368,What,en-uk_what.m4a,0.2,
word,0.323368,0.692932,about,en-uk_about.m4a,0.2,
word,0.692932,0.913229,a,en-uk_a.m4a,0.2,
word,0.913229,1.88431,helicopter?,en-uk_helicopter.m4a,0.2,
sentence,book_en_501_page_11_2.m4a,2.88431,
word,0,0.29561,A,en-uk_a.m4a,0.2,
word,0.29561,1.0083,helicopter,en-uk_helicopter.m4a,0.2,
word,1.0083,1.34693,flew,en-uk_flew.m4a,0.2,
word,1.34693,1.97809,past,en-uk_past.m4a,0.2,
word,1.97809,2.46144,and,en-uk_and.m4a,0.2,
word,2.46144,2.96942,Cindy,en-uk_cindy.m4a,0.2,
word,2.96942,3.57746,remembered,en-uk_remembered.m4a,0.2,
word,3.57746,3.82855,that,en-uk_that.m4a,0.2,
word,3.82855,4.71133,helicopters,en-uk_helicopters.m4a,0.2,
word,4.71133,5.03777,don't,en-uk_don1t.m4a,0.2,
word,5.03777,5.29451,need,en-uk_need.m4a,0.2,
word,5.29451,5.51277,to,en-uk_to.m4a,0.2,
word,5.51277,5.7876,land,en-uk_land.m4a,0.2,
word,5.7876,6.02577,at,en-uk_at.m4a,0.2,
word,6.02577,6.8059,airports.,en-uk_airports.m4a,0.2,
page,12,book_en_501_page_12,wordwrap,
paragraph
sentence,book_en_501_page_12_1.m4a,0,
word,0,0.324105,In,en-uk_in.m4a,0.2,
word,0.324105,0.498936,a,en-uk_a.m4a,0.2,
word,0.498936,1.59384,"helicopter,",en-uk_helicopter.m4a,0.2,
word,1.59384,2.40466,Cindy,en-uk_cindy.m4a,0.2,
word,2.40466,2.60261,could,en-uk_could.m4a,0.2,
word,2.60261,3.16091,fly,en-uk_fly.m4a,0.2,
word,3.16091,3.56272,above,en-uk_above.m4a,0.2,
word,3.56272,3.74351,the,en-uk_the.m4a,0.2,
word,3.74351,4.31068,bus.,en-uk_bus.m4a,0.2,
sentence,book_en_501_page_12_2.m4a,5.31068,
word,0,0.518206,She,en-uk_she.m4a,0.2,
word,0.518206,0.775866,would,en-uk_would.m4a,0.2,
word,0.775866,0.998281,get,en-uk_get.m4a,0.2,
word,0.998281,1.19724,to,en-uk_to.m4a,0.2,
word,1.19724,1.53286,school,en-uk_school.m4a,0.2,
word,1.53286,2.31454,first!,en-uk_first.m4a,0.2,
sentence,book_en_501_page_12_3.m4a,8.62522,
word,0,0.319168,Too,en-uk_too.m4a,0.2,
word,0.319168,1.01953,bad,en-uk_bad.m4a,0.2,
word,1.01953,1.45413,Cindy,en-uk_cindy.m4a,0.2,
word,1.45413,1.71155,didn't,en-uk_didn1t.m4a,0.2,
word,1.71155,1.95226,know,en-uk_know.m4a,0.2,
word,1.95226,2.54526,anyone,en-uk_anyone.m4a,0.2,
word,2.54526,2.74022,who,en-uk_who.m4a,0.2,
word,2.74022,2.90376,had,en-uk_had.m4a,0.2,
word,2.90376,3.06824,a,en-uk_a.m4a,0.2,
word,3.06824,3.82884,helicopter.,en-uk_helicopter.m4a,0.2,
page,13,book_en_501_page_13,wordwrap,
paragraph
sentence,book_en_501_page_13_1.m4a,0,
word,0,0.347814,“What,en-uk_what.m4a,0.2,
word,0.347814,0.731498,about,en-uk_about.m4a,0.2,
word,0.731498,1.05801,a,en-uk_a.m4a,0.2,
word,1.05801,1.69501,boat?”,en-uk_boat.m4a,0.2,
sentence,book_en_501_page_13_2.m4a,2.69501,
word,0,0.591771,Cindy,en-uk_cindy.m4a,0.2,
word,0.591771,1.10995,thought.,en-uk_thought.m4a,0.2,
sentence,book_en_501_page_13_3.m4a,4.80497,
word,0,0.820104,If,en-uk_if.m4a,0.2,
word,0.820104,1.44688,Cindy's,en-uk_cindy1s.m4a,0.2,
word,1.44688,2.08995,school,en-uk_school.m4a,0.2,
word,2.08995,2.27412,was,en-uk_was.m4a,0.2,
word,2.27412,2.44335,near,en-uk_near.m4a,0.2,
word,2.44335,2.71414,the,en-uk_the.m4a,0.2,
word,2.71414,3.48889,"water,",en-uk_water.m4a,0.2,
word,3.48889,4.15562,Cindy,en-uk_cindy.m4a,0.2,
word,4.15562,4.52618,could,en-uk_could.m4a,0.2,
word,4.52618,4.75388,get,en-uk_get.m4a,0.2,
word,4.75388,5.24052,there,en-uk_there.m4a,0.2,
word,5.24052,5.57377,on,en-uk_on.m4a,0.2,
word,5.57377,5.76055,a,en-uk_a.m4a,0.2,
word,5.76055,6.04322,boat.,en-uk_boat.m4a,0.2,
page,14,book_en_501_page_14,wordwrap,
paragraph
sentence,book_en_501_page_14_1.m4a,0,
word,0,0.750005,Cindy's,en-uk_cindy1s.m4a,0.2,
word,0.750005,1.19686,school,en-uk_school.m4a,0.2,
word,1.19686,1.68427,wasn't,en-uk_wasn1t.m4a,0.2,
word,1.68427,1.97627,near,en-uk_near.m4a,0.2,
word,1.97627,2.16406,the,en-uk_the.m4a,0.2,
word,2.16406,2.51426,"water,",en-uk_water.m4a,0.2,
word,2.51426,2.9168,though.,en-uk_though.m4a,0.2,
sentence,book_en_501_page_14_2.m4a,3.9168,
word,0,0.351249,A,en-uk_a.m4a,0.2,
word,0.351249,0.859582,boat,en-uk_boat.m4a,0.2,
word,0.859582,1.31518,couldn't,en-uk_couldn1t.m4a,0.2,
word,1.31518,1.64179,take,en-uk_take.m4a,0.2,
word,1.64179,2.01997,Cindy,en-uk_cindy.m4a,0.2,
word,2.01997,2.18459,to,en-uk_to.m4a,0.2,
word,2.18459,2.53524,"school,",en-uk_school.m4a,0.2,
word,2.53524,3.5363,either.,en-uk_either.m4a,0.2,
sentence,book_en_501_page_14_3.m4a,8.45311,
word,0,0.603094,How,en-uk_how.m4a,0.2,
word,0.603094,0.775664,can,en-uk_can.m4a,0.2,
word,0.775664,0.942366,I,en-uk_i.m4a,0.2,
word,0.942366,1.22932,get,en-uk_get.m4a,0.2,
word,1.22932,1.42597,to,en-uk_to.m4a,0.2,
word,1.42597,2.40916,"school?,”",en-uk_school.m4a,0.2,
sentence,book_en_501_page_14_4.m4a,11.8623,
word,0,0.568458,Cindy,en-uk_cindy.m4a,0.2,
word,0.568458,1.00997,asked,en-uk_asked.m4a,0.2,
word,1.00997,1.55977,herself,en-uk_herself.m4a,0.2,
word,1.55977,2.28011,again.,en-uk_again.m4a,0.2,
page,15,book_en_501_page_15,wordwrap,
paragraph
sentence,book_en_501_page_15_1.m4a,0,
word,0,0.371462,“I,en-uk_i.m4a,0.2,
word,0.371462,0.834626,know!,en-uk_know.m4a,0.2,
sentence,book_en_501_page_15_2.m4a,1.83463,
word,0,0.492391,I'll,en-uk_i1ll.m4a,0.2,
word,0.492391,0.840584,take,en-uk_take.m4a,0.2,
word,0.840584,1.01871,a,en-uk_a.m4a,0.2,
word,1.01871,2.07361,motorcycle!”,en-uk_motorcycle.m4a,0.2,
sentence,book_en_501_page_15_3.m4a,4.90823,
word,0,0.650629,Cindy,en-uk_cindy.m4a,0.2,
word,0.650629,1.28204,shouted.,en-uk_shouted.m4a,0.2,
sentence,book_en_501_page_15_4.m4a,7.19027,
word,0,0.392111,“All,en-uk_all.m4a,0.2,
word,0.392111,0.752975,I,en-uk_i.m4a,0.2,
word,0.752975,1.2902,need,en-uk_need.m4a,0.2,
word,1.2902,1.54128,is,en-uk_is.m4a,0.2,
word,1.54128,1.74861,a,en-uk_a.m4a,0.2,
word,1.74861,2.65009,motorcycle.”,en-uk_motorcycle.m4a,0.2,
