title,"Don’t Get Mad, Maddie",book_en_503_page_0_1.m4a,book_en_503_page_0,portrait,audio,
word,0,0.515125,“I'm,en-uk_i1m.m4a,0.2,
word,0.515125,1.21764,MAD!,en-uk_mad.m4a,0.2,
sentence,book_en_503_page_6_8.m4a,15.5973,
word,0,0.400001,I,en-uk_i.m4a,0.2,
word,0.400001,0.609083,had,en-uk_had.m4a,0.2,
word,0.609083,0.802072,a,en-uk_a.m4a,0.2,
word,0.802072,1.3356,bad,en-uk_bad.m4a,0.2,
word,1.3356,1.6592,day,en-uk_day.m4a,0.2,
word,1.6592,1.85133,at,en-uk_at.m4a,0.2,
word,1.85133,2.49712,school.”,en-uk_school.m4a,0.2,
page,7,book_en_503_page_7,wordwrap,
paragraph
sentence,book_en_503_page_7_1.m4a,0,
word,0,0.352088,Can,en-uk_can.m4a,0.2,
word,0.352088,0.552499,you,en-uk_you.m4a,0.2,
word,0.552499,0.810282,tell,en-uk_tell.m4a,0.2,
word,0.810282,1.1093,me,en-uk_me.m4a,0.2,
word,1.1093,1.33559,what,en-uk_what.m4a,0.2,
word,1.33559,1.93259,happened?”,en-uk_happened.m4a,0.2,
sentence,book_en_503_page_7_2.m4a,2.93259,
word,0,0.657595,Maddie's,en-uk_maddie1s.m4a,0.2,
word,0.657595,1.06516,father,en-uk_father.m4a,0.2,
word,1.06516,1.63687,asked.,en-uk_asked.m4a,0.2,
sentence,book_en_503_page_7_3.m4a,5.56946,
word,0,0.491323,“I,en-uk_i.m4a,0.2,
word,0.491323,0.934403,don't,en-uk_don1t.m4a,0.2,
word,0.934403,1.46793,want,en-uk_want.m4a,0.2,
word,1.46793,2.02707,"to,”",en-uk_to.m4a,0.2,
sentence,book_en_503_page_7_4.m4a,8.59653,
word,0,0.443651,said,en-uk_said.m4a,0.2,
word,0.443651,0.90805,Maddie.,en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_7_5.m4a,10.5046,
word,0,0.376075,“Can,en-uk_can.m4a,0.2,
word,0.376075,0.627398,you,en-uk_you.m4a,0.2,
word,0.627398,1.24315,draw,en-uk_draw.m4a,0.2,
word,1.24315,1.46283,what,en-uk_what.m4a,0.2,
word,1.46283,2.07896,happened?”,en-uk_happened.m4a,0.2,
sentence,book_en_503_page_7_6.m4a,13.5835,
word,0,0.358377,he,en-uk_he.m4a,0.2,
word,0.358377,0.887392,asked.,en-uk_asked.m4a,0.2,
sentence,book_en_503_page_7_7.m4a,15.4709,
word,0,0.765418,Maddie's,en-uk_maddie1s.m4a,0.2,
word,0.765418,1.38245,father,en-uk_father.m4a,0.2,
word,1.38245,1.89253,handed,en-uk_handed.m4a,0.2,
word,1.89253,2.26763,Maddie,en-uk_maddie.m4a,0.2,
word,2.26763,2.50075,some,en-uk_some.m4a,0.2,
word,2.50075,3.39363,crayons.,en-uk_crayons.m4a,0.2,
page,8,book_en_503_page_8,wordwrap,
paragraph
sentence,book_en_503_page_8_1.m4a,0,
word,0,0.93744,"First,",en-uk_first.m4a,0.2,
word,0.93744,1.40405,she,en-uk_she.m4a,0.2,
word,1.40405,1.63126,drew,en-uk_drew.m4a,0.2,
word,1.63126,2.05239,a,en-uk_a.m4a,0.2,
word,2.05239,2.41635,red,en-uk_red.m4a,0.2,
word,2.41635,2.8093,block.,en-uk_block.m4a,0.2,
sentence,book_en_503_page_8_2.m4a,4.35848,
word,0.213356,0.661927,"“This,”",en-uk_this.m4a,0.2,
sentence,book_en_503_page_8_3.m4a,6.02041,
word,0,0.518778,she,en-uk_she.m4a,0.2,
word,0.518778,1.18107,"explained,",en-uk_explained.m4a,0.2,
sentence,book_en_503_page_8_4.m4a,8.20147,
word,0,0.26873,“is,en-uk_is.m4a,0.2,
word,0.26873,0.513247,the,en-uk_the.m4a,0.2,
word,0.513247,0.972562,brick,en-uk_brick.m4a,0.2,
word,0.972562,1.21747,I,en-uk_i.m4a,0.2,
word,1.21747,1.54575,tripped,en-uk_tripped.m4a,0.2,
word,1.54575,2.16785,over,en-uk_over.m4a,0.2,
word,2.16785,2.34489,on,en-uk_on.m4a,0.2,
word,2.34489,2.60909,my,en-uk_my.m4a,0.2,
word,2.60909,2.88028,way,en-uk_way.m4a,0.2,
word,2.88028,3.07667,to,en-uk_to.m4a,0.2,
word,3.07667,3.57544,lunch.”,en-uk_lunch.m4a,0.2,
page,9,book_en_503_page_9,wordwrap,
paragraph
sentence,book_en_503_page_9_1.m4a,0,
word,0,1.12542,"Next,",en-uk_next.m4a,0.2,
word,1.12542,1.73674,Maddie,en-uk_maddie.m4a,0.2,
word,1.73674,1.93313,took,en-uk_took.m4a,0.2,
word,1.93313,2.15131,a,en-uk_a.m4a,0.2,
word,2.15131,2.68677,green,en-uk_green.m4a,0.2,
word,2.68677,3.24388,crayon.,en-uk_crayon.m4a,0.2,
sentence,book_en_503_page_9_2.m4a,4.24388,
word,0,0.535308,She,en-uk_she.m4a,0.2,
word,0.535308,0.810584,drew,en-uk_drew.m4a,0.2,
word,0.810584,0.972105,a,en-uk_a.m4a,0.2,
word,0.972105,1.43529,picture,en-uk_picture.m4a,0.2,
word,1.43529,1.59606,of,en-uk_of.m4a,0.2,
word,1.59606,1.77865,a,en-uk_a.m4a,0.2,
word,1.77865,2.29401,boy.,en-uk_boy.m4a,0.2,
sentence,book_en_503_page_9_3.m4a,7.53789,
word,0,0.719864,"“This,”",en-uk_this.m4a,0.2,
sentence,book_en_503_page_9_4.m4a,9.25776,
word,0,0.912512,explained,en-uk_explained.m4a,0.2,
word,0.912512,1.38417,"Maddie,",en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_9_5.m4a,11.6419,
word,0,0.351439,“is,en-uk_is.m4a,0.2,
word,0.351439,0.582156,the,en-uk_the.m4a,0.2,
word,0.582156,1.02416,mean,en-uk_mean.m4a,0.2,
word,1.02416,1.55743,boy,en-uk_boy.m4a,0.2,
word,1.55743,1.76867,who,en-uk_who.m4a,0.2,
word,1.76867,2.34136,laughed,en-uk_laughed.m4a,0.2,
word,2.34136,2.56593,at,en-uk_at.m4a,0.2,
word,2.56593,2.96835,me,en-uk_me.m4a,0.2,
word,2.96835,3.31032,when,en-uk_when.m4a,0.2,
word,3.31032,3.52533,I,en-uk_i.m4a,0.2,
word,3.52533,3.85367,fell,en-uk_fell.m4a,0.2,
word,3.85367,4.46782,down!”,en-uk_down.m4a,0.2,
page,10,book_en_503_page_10,wordwrap,
paragraph
sentence,book_en_503_page_10_1.m4a,0,
word,0,0.733126,Maddie,en-uk_maddie.m4a,0.2,
word,0.733126,0.936773,took,en-uk_took.m4a,0.2,
word,0.936773,1.11535,a,en-uk_a.m4a,0.2,
word,1.11535,1.53361,yellow,en-uk_yellow.m4a,0.2,
word,1.53361,2.42663,crayon,en-uk_crayon.m4a,0.2,
word,2.42663,2.72451,and,en-uk_and.m4a,0.2,
word,2.72451,3.09309,drew,en-uk_drew.m4a,0.2,
word,3.09309,3.5844,more.,en-uk_more.m4a,0.2,
sentence,book_en_503_page_10_2.m4a,4.5844,
word,0,0.743668,“This,en-uk_this.m4a,0.2,
word,0.743668,1.18686,is,en-uk_is.m4a,0.2,
word,1.18686,1.49063,my,en-uk_my.m4a,0.2,
word,1.49063,2.04608,"cookie,”",en-uk_cookie.m4a,0.2,
sentence,book_en_503_page_10_3.m4a,7.63048,
word,0,0.512381,Maddie,en-uk_maddie.m4a,0.2,
word,0.512381,0.961814,said.,en-uk_said.m4a,0.2,
sentence,book_en_503_page_10_4.m4a,9.59229,
word,0,0.352441,“It,en-uk_it.m4a,0.2,
word,0.352441,0.75892,fell,en-uk_fell.m4a,0.2,
word,0.75892,1.10133,out,en-uk_out.m4a,0.2,
word,1.10133,1.35294,of,en-uk_of.m4a,0.2,
word,1.35294,1.58651,my,en-uk_my.m4a,0.2,
word,1.58651,1.86012,lunch,en-uk_lunch.m4a,0.2,
word,1.86012,2.48545,box,en-uk_box.m4a,0.2,
word,2.48545,2.61246,when,en-uk_when.m4a,0.2,
word,2.61246,2.82727,I,en-uk_i.m4a,0.2,
word,2.82727,3.41413,tripped.”,en-uk_tripped.m4a,0.2,
page,11,book_en_503_page_11,wordwrap,
paragraph
sentence,book_en_503_page_11_1.m4a,0,
word,0,0.317744,With,en-uk_with.m4a,0.2,
word,0.317744,0.501252,a,en-uk_a.m4a,0.2,
word,0.501252,1.03626,purple,en-uk_purple.m4a,0.2,
word,1.03626,2.01155,"crayon,",en-uk_crayon.m4a,0.2,
word,2.01155,2.37103,Maddie,en-uk_maddie.m4a,0.2,
word,2.37103,2.76174,drew,en-uk_drew.m4a,0.2,
word,2.76174,3.16182,a,en-uk_a.m4a,0.2,
word,3.16182,3.76361,bird.,en-uk_bird.m4a,0.2,
sentence,book_en_503_page_11_2.m4a,4.76361,
word,0,0.315056,In,en-uk_in.m4a,0.2,
word,0.315056,0.516687,the,en-uk_the.m4a,0.2,
word,0.516687,0.908639,bird's,en-uk_birds.m4a,0.2,
word,0.908639,1.85886,mouth,en-uk_mouth.m4a,0.2,
word,1.85886,2.14197,was,en-uk_was.m4a,0.2,
word,2.14197,2.81665,Maddie's,en-uk_maddie1s.m4a,0.2,
word,2.81665,3.37052,cookie.,en-uk_cookie.m4a,0.2,
sentence,book_en_503_page_11_3.m4a,9.13413,
word,0,0.810166,“Then,en-uk_then.m4a,0.2,
word,0.810166,0.96913,a,en-uk_a.m4a,0.2,
word,0.96913,1.4009,bird,en-uk_bird.m4a,0.2,
word,1.4009,1.99294,stole,en-uk_stole.m4a,0.2,
word,1.99294,2.27094,my,en-uk_my.m4a,0.2,
word,2.27094,3.87043,cookie!”,en-uk_cookie.m4a,0.2,
sentence,book_en_503_page_11_4.m4a,14.0046,
word,0,0.597462,said,en-uk_said.m4a,0.2,
word,0.597462,1.05742,Maddie.,en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_11_5.m4a,16.062,
word,0,0.516669,“I,en-uk_i.m4a,0.2,
word,0.516669,1.10146,wanted,en-uk_wanted.m4a,0.2,
word,1.10146,1.34255,to,en-uk_to.m4a,0.2,
word,1.34255,1.84283,eat,en-uk_eat.m4a,0.2,
word,1.84283,2.10067,that,en-uk_that.m4a,0.2,
word,2.10067,2.59571,"cookie,”",en-uk_cookie.m4a,0.2,
sentence,book_en_503_page_11_6.m4a,19.6577,
word,0,0.3651,she,en-uk_she.m4a,0.2,
word,0.3651,0.770658,said.,en-uk_said.m4a,0.2,
page,12,book_en_503_page_12,wordwrap,
paragraph
sentence,book_en_503_page_12_1.m4a,0,
word,0,0.78184,Then,en-uk_then.m4a,0.2,
word,0.78184,1.70672,Maddie,en-uk_maddie.m4a,0.2,
word,1.70672,1.96479,drew,en-uk_drew.m4a,0.2,
word,1.96479,2.16481,a,en-uk_a.m4a,0.2,
word,2.16481,2.71507,picture,en-uk_picture.m4a,0.2,
word,2.71507,2.89018,of,en-uk_of.m4a,0.2,
word,2.89018,3.09862,her,en-uk_her.m4a,0.2,
word,3.09862,3.74211,teacher.,en-uk_teacher.m4a,0.2,
sentence,book_en_503_page_12_2.m4a,4.74211,
word,0,0.530775,“Miss,en-uk_miss.m4a,0.2,
word,0.530775,1.26532,Anna,en-uk_anna.m4a,0.2,
word,1.26532,1.60761,helped,en-uk_helped.m4a,0.2,
word,1.60761,1.95064,me,en-uk_me.m4a,0.2,
word,1.95064,2.15272,up.,en-uk_up.m4a,0.2,
sentence,book_en_503_page_12_3.m4a,7.89483,
word,0,0.473851,She,en-uk_she.m4a,0.2,
word,0.473851,0.781095,gave,en-uk_gave.m4a,0.2,
word,0.781095,1.11555,me,en-uk_me.m4a,0.2,
word,1.11555,1.60826,her,en-uk_her.m4a,0.2,
word,1.60826,2.15848,cookie,en-uk_cookie.m4a,0.2,
word,2.15848,2.31999,from,en-uk_from.m4a,0.2,
word,2.31999,2.54966,her,en-uk_her.m4a,0.2,
word,2.54966,3.05481,lunch.”,en-uk_lunch.m4a,0.2,
page,13,book_en_503_page_13,wordwrap,
paragraph
sentence,book_en_503_page_13_1.m4a,0,
word,0,0.782592,Maddie's,en-uk_maddie1s.m4a,0.2,
word,0.782592,1.29842,father,en-uk_father.m4a,0.2,
word,1.29842,1.93274,smiled.,en-uk_smiled.m4a,0.2,
sentence,book_en_503_page_13_2.m4a,2.93274,
word,0,0.723061,“See?,en-uk_see.m4a,0.2,
sentence,book_en_503_page_13_3.m4a,4.65581,
word,0,0.510176,Your,en-uk_your.m4a,0.2,
word,0.510176,0.84231,day,en-uk_day.m4a,0.2,
word,0.84231,1.19163,wasn't,en-uk_wasn1t.m4a,0.2,
word,1.19163,1.69357,all,en-uk_all.m4a,0.2,
word,1.69357,2.01302,"bad,”",en-uk_bad.m4a,0.2,
sentence,book_en_503_page_13_4.m4a,7.66882,
word,0,0.342664,he,en-uk_he.m4a,0.2,
word,0.342664,0.696304,said.,en-uk_said.m4a,0.2,
sentence,book_en_503_page_13_5.m4a,9.36512,
word,0,0.425933,“And,en-uk_and.m4a,0.2,
word,0.425933,0.74415,look!,en-uk_look.m4a,0.2,
sentence,book_en_503_page_13_6.m4a,11.1093,
word,0,0.316351,You,en-uk_you.m4a,0.2,
word,0.316351,0.482335,are,en-uk_are.m4a,0.2,
word,0.482335,0.71615,a,en-uk_a.m4a,0.2,
word,0.71615,1.3848,very,en-uk_very.m4a,0.2,
word,1.3848,1.82708,good,en-uk_good.m4a,0.2,
word,1.82708,2.51018,artist!”,en-uk_artist.m4a,0.2,
page,14,book_en_503_page_14,wordwrap,
paragraph
sentence,book_en_503_page_14_1.m4a,0,
word,0,0.563465,Maddie,en-uk_maddie.m4a,0.2,
word,0.563465,1.43664,smiled.,en-uk_smiled.m4a,0.2,
sentence,book_en_503_page_14_2.m4a,2.43664,
word,0,0.532061,She,en-uk_she.m4a,0.2,
word,0.532061,1.03906,forgot,en-uk_forgot.m4a,0.2,
word,1.03906,1.25023,to,en-uk_to.m4a,0.2,
word,1.25023,1.47428,be,en-uk_be.m4a,0.2,
word,1.47428,2.03692,mad,en-uk_mad.m4a,0.2,
word,2.03692,2.45327,and,en-uk_and.m4a,0.2,
word,2.45327,2.77179,kept,en-uk_kept.m4a,0.2,
word,2.77179,3.42896,drawing.,en-uk_drawing.m4a,0.2,
sentence,book_en_503_page_14_3.m4a,6.8656,
word,0,0.568268,She,en-uk_she.m4a,0.2,
word,0.568268,0.858974,drew,en-uk_drew.m4a,0.2,
word,0.858974,1.06076,the,en-uk_the.m4a,0.2,
word,1.06076,1.96729,flowers,en-uk_flowers.m4a,0.2,
word,1.96729,2.13946,she,en-uk_she.m4a,0.2,
word,2.13946,2.33466,had,en-uk_had.m4a,0.2,
word,2.33466,2.90159,scowled,en-uk_scowled.m4a,0.2,
word,2.90159,3.33435,at.,en-uk_at.m4a,0.2,
sentence,book_en_503_page_14_4.m4a,11.2,
word,0,0.453014,She,en-uk_she.m4a,0.2,
word,0.453014,0.732487,drew,en-uk_drew.m4a,0.2,
word,0.732487,0.977168,their,en-uk_their.m4a,0.2,
word,0.977168,2.05875,bicycle,en-uk_bicycle.m4a,0.2,
word,2.05875,2.51777,and,en-uk_and.m4a,0.2,
word,2.51777,2.65571,a,en-uk_a.m4a,0.2,
word,2.65571,3.38714,tree,en-uk_tree.m4a,0.2,
word,3.38714,3.87723,and,en-uk_and.m4a,0.2,
