title,To the Moon!,book_en_413_page_0_1.m4a,book_en_413_page_0,portrait,audio,
word,0.721545,1.0031,and,en-uk_and.m4a,0.2,
word,1.0031,2.05592,Rani,en-uk_june.m4a,0.2,
word,2.05592,2.51098,knew,en-uk_knew.m4a,0.2,
word,2.51098,2.70858,they,en-uk_they.m4a,0.2,
word,2.70858,2.99876,must,en-uk_must.m4a,0.2,
word,2.99876,3.25606,be,en-uk_be.m4a,0.2,
word,3.25606,3.59247,home,en-uk_home.m4a,0.2,
word,3.59247,4.14281,soon.,en-uk_soon.m4a,0.2,
sentence,book_en_413_page_10_2.m4a,5.14281,
word,0,0.575779,So,en-uk_so.m4a,0.2,
word,0.575779,0.811355,they,en-uk_they.m4a,0.2,
word,0.811355,1.05887,put,en-uk_put.m4a,0.2,
word,1.05887,1.43075,on,en-uk_on.m4a,0.2,
word,1.43075,1.67979,their,en-uk_their.m4a,0.2,
word,1.67979,2.1241,rocket,en-uk_rocket.m4a,0.2,
word,2.1241,2.93085,boots,en-uk_boots.m4a,0.2,
word,2.93085,3.53523,and,en-uk_and.m4a,0.2,
word,3.53523,3.99534,left,en-uk_left.m4a,0.2,
word,3.99534,4.2276,the,en-uk_the.m4a,0.2,
word,4.2276,4.77923,moon.,en-uk_moon.m4a,0.2,
page,11,book_en_413_page_11,wordwrap,
paragraph
sentence,book_en_413_page_11_1.m4a,0,
word,0.142309,0.365754,They,en-uk_they.m4a,0.2,
word,0.365754,0.965494,landed,en-uk_landed.m4a,0.2,
word,0.965494,1.13563,back,en-uk_back.m4a,0.2,
word,1.13563,1.41066,at,en-uk_at.m4a,0.2,
word,1.41066,2.07687,home,en-uk_home.m4a,0.2,
word,2.07687,2.55308,around,en-uk_around.m4a,0.2,
word,2.55308,3.19354,noon.,en-uk_noon.m4a,0.2,
sentence,book_en_413_page_11_2.m4a,4.19354,
word,0,0.523794,And,en-uk_and.m4a,0.2,
word,0.523794,0.81865,for,en-uk_for.m4a,0.2,
word,0.81865,1.44916,lunch,en-uk_lunch.m4a,0.2,
word,1.44916,1.63546,they,en-uk_they.m4a,0.2,
word,1.63546,1.8404,ate,en-uk_ate.m4a,0.2,
word,1.8404,2.58633,soup,en-uk_soup.m4a,0.2,
word,2.58633,3.67334,and,en-uk_and.m4a,0.2,
word,3.67334,4.30496,watched,en-uk_watched.m4a,0.2,
word,4.30496,4.48918,their,en-uk_their.m4a,0.2,
word,4.48918,4.818,mule.,en-uk_mule.m4a,0.2,
page,12,book_en_413_page_12,wordwrap,
paragraph
sentence,book_en_413_page_12_1.m4a,0,
word,0,0.476679,How,en-uk_how.m4a,0.2,
word,0.476679,0.648825,would,en-uk_would.m4a,0.2,
word,0.648825,1.18467,you,en-uk_you.m4a,0.2,
word,1.18467,1.64702,like,en-uk_like.m4a,0.2,
word,1.64702,1.8183,to,en-uk_to.m4a,0.2,
word,1.8183,2.05969,go,en-uk_go.m4a,0.2,
word,2.05969,2.20195,to,en-uk_to.m4a,0.2,
word,2.20195,2.34003,the,en-uk_the.m4a,0.2,
word,2.34003,2.62009,"moon,",en-uk_moon.m4a,0.2,
word,2.62009,3.34984,too?,en-uk_too.m4a,0.2,
