title,Lion and Elephant,book_en_506_page_0_1.m4a,book_en_506_page_0,portrait,audio,
word,0.338389,0.697209,she,en-uk_she.m4a,0.2,
word,0.697209,1.18854,tried,en-uk_tried.m4a,0.2,
word,1.18854,1.33139,to,en-uk_to.m4a,0.2,
word,1.33139,1.44736,get,en-uk_get.m4a,0.2,
word,1.44736,1.57519,a,en-uk_a.m4a,0.2,
word,1.57519,2.49098,"drink,",en-uk_drink.m4a,0.2,
word,2.49098,2.9158,several,en-uk_several.m4a,0.2,
word,2.9158,3.51685,frogs,en-uk_frogs.m4a,0.2,
word,3.51685,3.75763,got,en-uk_got.m4a,0.2,
word,3.75763,3.90751,in,en-uk_in.m4a,0.2,
word,3.90751,4.07671,her,en-uk_her.m4a,0.2,
word,4.07671,4.62968,way.,en-uk_way.m4a,0.2,
sentence,book_en_506_page_5_4.m4a,13.5679,
word,0,0.432205,She,en-uk_she.m4a,0.2,
word,0.432205,1.73042,accidentally,en-uk_accidentally.m4a,0.2,
word,1.73042,2.18435,stepped,en-uk_stepped.m4a,0.2,
word,2.18435,2.48429,on,en-uk_on.m4a,0.2,
word,2.48429,2.76837,two,en-uk_two.m4a,0.2,
word,2.76837,2.92039,of,en-uk_of.m4a,0.2,
word,2.92039,3.32954,them.,en-uk_them.m4a,0.2,
page,6,book_en_506_page_6,wordwrap,
paragraph
sentence,book_en_506_page_6_1.m4a,0,
word,0,0.83933,Lion,en-uk_lion.m4a,0.2,
word,0.83933,1.5417,summoned,en-uk_summoned.m4a,0.2,
word,1.5417,2.19198,Elephant,en-uk_elephant.m4a,0.2,
word,2.19198,2.35092,to,en-uk_to.m4a,0.2,
word,2.35092,2.51737,his,en-uk_his.m4a,0.2,
word,2.51737,2.95954,log.,en-uk_log.m4a,0.2,
sentence,book_en_506_page_6_2.m4a,3.89714,
word,0,0.574759,“You,en-uk_you.m4a,0.2,
word,0.574759,1.03261,are,en-uk_are.m4a,0.2,
word,1.03261,1.49797,very,en-uk_very.m4a,0.2,
word,1.49797,2.09147,"large,”",en-uk_large.m4a,0.2,
sentence,book_en_506_page_6_3.m4a,6.98862,
word,0,0.292007,he,en-uk_he.m4a,0.2,
word,0.292007,0.669592,said.,en-uk_said.m4a,0.2,
sentence,book_en_506_page_6_4.m4a,8.65821,
word,0,0.36427,“You,en-uk_you.m4a,0.2,
word,0.36427,0.598416,must,en-uk_must.m4a,0.2,
word,0.598416,0.808056,be,en-uk_be.m4a,0.2,
word,0.808056,1.40413,careful,en-uk_careful.m4a,0.2,
word,1.40413,1.6123,of,en-uk_of.m4a,0.2,
word,1.6123,1.75338,the,en-uk_the.m4a,0.2,
word,1.75338,2.63803,"frogs,",en-uk_frogs.m4a,0.2,
word,2.63803,2.99662,because,en-uk_because.m4a,0.2,
word,2.99662,3.48923,they,en-uk_they.m4a,0.2,
word,3.48923,3.74775,are,en-uk_are.m4a,0.2,
word,3.74775,4.28133,very,en-uk_very.m4a,0.2,
word,4.28133,5.00498,small.”,en-uk_small.m4a,0.2,
page,7,book_en_506_page_7,wordwrap,
paragraph
sentence,book_en_506_page_7_1.m4a,0,
word,0,0.467451,That,en-uk_that.m4a,0.2,
word,0.467451,1.3966,"night,",en-uk_night.m4a,0.2,
word,1.3966,2.22745,Elephant,en-uk_elephant.m4a,0.2,
word,2.22745,2.46929,went,en-uk_went.m4a,0.2,
word,2.46929,2.63586,to,en-uk_to.m4a,0.2,
word,2.63586,2.78614,the,en-uk_the.m4a,0.2,
word,2.78614,3.31972,watering,en-uk_watering.m4a,0.2,
word,3.31972,3.64447,hole,en-uk_hole.m4a,0.2,
word,3.64447,4.33641,again.,en-uk_again.m4a,0.2,
sentence,book_en_506_page_7_2.m4a,5.31476,
word,0,0.309964,“I,en-uk_i.m4a,0.2,
word,0.309964,0.626838,am,en-uk_am.m4a,0.2,
word,0.626838,1.36788,sorry,en-uk_sorry.m4a,0.2,
word,1.36788,1.52615,I,en-uk_i.m4a,0.2,
word,1.52615,1.86897,hurt,en-uk_hurt.m4a,0.2,
word,1.86897,2.03562,you,en-uk_you.m4a,0.2,
word,2.03562,2.82109,"before,”",en-uk_before.m4a,0.2,
sentence,book_en_506_page_7_3.m4a,9.13585,
word,0,0.309744,she,en-uk_she.m4a,0.2,
word,0.309744,0.502378,told,en-uk_told.m4a,0.2,
word,0.502378,0.693597,the,en-uk_the.m4a,0.2,
word,0.693597,1.28952,frogs.,en-uk_frogs.m4a,0.2,
sentence,book_en_506_page_7_4.m4a,11.4254,
word,0,0.299726,“I,en-uk_i.m4a,0.2,
word,0.299726,0.492732,will,en-uk_will.m4a,0.2,
word,0.492732,0.70957,be,en-uk_be.m4a,0.2,
word,0.70957,1.49163,careful,en-uk_careful.m4a,0.2,
word,1.49163,1.66684,from,en-uk_from.m4a,0.2,
word,1.66684,1.89162,now,en-uk_now.m4a,0.2,
word,1.89162,2.4093,on.”,en-uk_on.m4a,0.2,
page,8,book_en_506_page_8,wordwrap,
paragraph
sentence,book_en_506_page_8_1.m4a,0,
word,0,0.261141,When,en-uk_when.m4a,0.2,
word,0.261141,0.527009,the,en-uk_the.m4a,0.2,
word,0.527009,0.843763,sun,en-uk_sun.m4a,0.2,
word,0.843763,1.75207,"rose,",en-uk_rose.m4a,0.2,
word,1.75207,2.50179,Lion,en-uk_lion.m4a,0.2,
word,2.50179,2.73509,went,en-uk_went.m4a,0.2,
word,2.73509,2.99367,to,en-uk_to.m4a,0.2,
word,2.99367,3.137,the,en-uk_the.m4a,0.2,
word,3.137,3.67054,watering,en-uk_watering.m4a,0.2,
word,3.67054,4.17144,hole.,en-uk_hole.m4a,0.2,
sentence,book_en_506_page_8_2.m4a,5.14272,
word,0,0.338053,The,en-uk_the.m4a,0.2,
word,0.338053,1.06383,frogs,en-uk_frogs.m4a,0.2,
word,1.06383,1.36577,told,en-uk_told.m4a,0.2,
word,1.36577,1.78931,him,en-uk_him.m4a,0.2,
word,1.78931,2.15652,about,en-uk_about.m4a,0.2,
word,2.15652,2.68156,Elephant's,en-uk_elephant1s.m4a,0.2,
word,2.68156,3.57289,apology.,en-uk_apology.m4a,0.2,
sentence,book_en_506_page_8_3.m4a,9.69224,
word,0,0.996948,Lion,en-uk_lion.m4a,0.2,
word,0.996948,1.53886,sat,en-uk_sat.m4a,0.2,
word,1.53886,1.73875,on,en-uk_on.m4a,0.2,
word,1.73875,1.93031,his,en-uk_his.m4a,0.2,
word,1.93031,2.61053,log,en-uk_log.m4a,0.2,
word,2.61053,2.77733,and,en-uk_and.m4a,0.2,
word,2.77733,3.50073,smiled.,en-uk_smiled.m4a,0.2,
sentence,book_en_506_page_8_4.m4a,14.193,
word,0,0.482745,All,en-uk_all.m4a,0.2,
word,0.482745,0.741284,was,en-uk_was.m4a,0.2,
word,0.741284,1.60022,right,en-uk_right.m4a,0.2,
word,1.60022,1.79931,in,en-uk_in.m4a,0.2,
word,1.79931,1.9674,the,en-uk_the.m4a,0.2,
word,1.9674,2.58283,savanna.,en-uk_savanna.m4a,0.2,
